kabkota,provinsi,ukuran_kota,cluster,cluster_label,silhouette,is_anomali,nearest_similarity,populasi,total_waste_per1k,rumah_tangga,perkantoran,perniagaan,pasar,fasilitas_publik,lainnya,kawasan,rumah_tangga_per1k,perkantoran_per1k,perniagaan_per1k,pasar_per1k,fasilitas_publik_per1k,lainnya_per1k,kawasan_per1k,pdrb_perkapita_juta,pdrb_growth_pct,kepadatan,jumlah_fasilitas,jumlah_tpa,jumlah_tps3r,total_sampah_diterima_ton,total_sampah_dikelola_ton,fasilitas_per100k,sampah_diterima_per1k,sampah_dikelola_per1k,efektivitas_kelola,timbulan_harian,timbulan_tahun,timbulan_per1k,komp_sisa_makanan,komp_kayu_ranting,komp_kertas_karton,komp_plastik,komp_logam,komp_kain,komp_karet_kulit,komp_kaca,komp_lainnya,is_urban,peer_1,peer_1_provinsi,peer_1_similarity,peer_2,peer_2_provinsi,peer_2_similarity,peer_3,peer_3_provinsi,peer_3_similarity,peer_4,peer_4_provinsi,peer_4_similarity,peer_5,peer_5_provinsi,peer_5_similarity
Kota Bandung,Jawa Barat,metropolitan,0,Urban Padat,0.5694,False,96.0,2545005.0,0.039292653649010516,60.0,4.0,6.0,10.0,13.3,1.7,5.0,0.02357559218940631,0.0015717061459604204,0.0023575592189406308,0.003929265364901052,0.005225922935318398,0.0006679751120331788,0.001964632682450526,146.10801157561576,4.993784496069342,15277.0,101.0,0.0,99.0,427694.239653,399220.67059428,3.9685580185500617,168.05241626362226,156.86439539186762,0.9334254090449724,1496.3055,546151.4929,214.59741450409723,44.52,3.98,13.12,16.7,0.9,4.75,2.38,1.97,11.68,1,Kota Magelang,Jawa Tengah,96.0,Kota Madiun,Jawa Timur,95.7,Kota Banjarmasin,Kalimantan Selatan,95.0,Kota Tangerang Selatan,Banten,95.0,Kota Bogor,Jawa Barat,94.4
Kota Banjarmasin,Kalimantan Selatan,besar,0,Urban Padat,0.6229,False,97.1,673514.0,0.008284905733214158,0.0,0.05,0.03,0.0,0.0,5.5,0.0,0.0,7.423750657001933e-05,4.45425039420116e-05,0.0,0.0,0.008166125722702127,0.0,67.80291129805765,5.634577842175424,6847.0,17.0,0.0,15.0,339745.934195,138783.937718373,2.5240752233806574,504.43782043877326,206.0594697636174,0.40849329969822923,475.7459,173647.2535,257.82278245144124,1.07,0.18,30.48,6.56,25.95,0.04,0.01,3.36,1.24,1,Kota Bogor,Jawa Barat,97.1,Kota Tangerang Selatan,Banten,96.8,Kota Madiun,Jawa Timur,96.7,Kota Magelang,Jawa Tengah,96.1,Kota Bandung,Jawa Barat,95.0
Kota Bogor,Jawa Barat,metropolitan,0,Urban Padat,0.6073,False,97.4,1114018.0,0.6777538603505509,394.59,75.54,113.3,90.78,22.66,20.39,37.77,0.35420433063020523,0.0678085991429223,0.10170392219874365,0.08148880897795188,0.020340784439748728,0.018303115389517944,0.03390429957146115,54.803127058988274,5.152587911708313,10003.0,33.0,0.0,31.0,195788.430961,186643.855922547,2.962250161128456,175.74979126100297,167.54114917581853,0.9532935884231354,779.8126,284631.599,255.5,40.0,14.0,20.0,15.0,1.0,2.5,0.5,1.0,6.0,1,Kota Tangerang Selatan,Banten,97.4,Kota Banjarmasin,Kalimantan Selatan,97.1,Kota Madiun,Jawa Timur,96.7,Kota Magelang,Jawa Tengah,95.9,Kota Bandung,Jawa Barat,94.4
Kota Bukittinggi,Sumatera Barat,sedang,0,Urban Padat,0.6234,False,96.8,134412.0,0.7439811921554622,59.03,0.48,1.34,32.18,6.96,0.01,0.0,0.4391720977293694,0.003571109722346219,0.009969347974883195,0.23941314763562777,0.05178109097402018,7.439811921554624e-05,0.0,87.92860756480076,4.5245581855766215,5708.0,1.0,0.0,0.0,35394.05045,35394.05045,0.7439811921554623,263.3250784900158,263.3250784900158,1.0,132.9926,48542.3136,361.1456834211231,,,,,,,,,,1,Kota Tangerang,Banten,96.8,Kota Yogyakarta,Daerah Istimewa Yogyakarta,95.4,Kota Cirebon,Jawa Barat,95.1,Kota Surakarta,Jawa Tengah,94.7,Kota Makasar,Sulawesi Selatan,94.4
Kota Cirebon,Jawa Barat,sedang,0,Urban Padat,0.6331,False,97.3,346438.0,0.6244984672582106,104.41,1.27,58.0,8.01,22.09,8.68,13.89,0.30138148817393007,0.0036658796090498157,0.1674181238778656,0.023121020211408678,0.06376321304244915,0.025054988194135746,0.0400937541493716,88.15479248812197,5.015527294236943,8784.0,1.0,0.0,0.0,58595.20393,58595.20393,0.28865193772045794,169.1361915551989,169.1361915551989,1.0,216.3542,78969.28,227.94635692389403,49.22,11.76,5.56,19.01,0.71,1.76,0.58,1.43,9.97,1,Kota Yogyakarta,Daerah Istimewa Yogyakarta,97.3,Kota Surakarta,Jawa Tengah,97.0,Kota Makasar,Sulawesi Selatan,95.8,Kota Bukittinggi,Sumatera Barat,95.1,Kota Tangerang,Banten,94.5
Kota Madiun,Jawa Timur,sedang,0,Urban Padat,0.6163,True,97.2,201760.0,0.5976407613005551,94.41,17.87,3.32,0.04,2.58,0.08,2.28,0.4679321966693101,0.08857057890563046,0.016455194290245837,0.00019825535289452815,0.012787470261697067,0.0003965107057890563,0.011300555114988104,92.4523691514671,5.733569072795897,5584.0,6.0,0.0,5.0,43880.3,32816.6025,2.9738302934179224,217.4876090404441,162.65167773592387,0.7478664115787722,124.0751,45287.3933,224.46170350911976,59.07,0.6,9.4,16.9,0.62,2.0,0.5,0.8,10.1,1,Kota Tangerang Selatan,Banten,97.2,Kota Banjarmasin,Kalimantan Selatan,96.7,Kota Bogor,Jawa Barat,96.7,Kota Magelang,Jawa Tengah,96.4,Kota Bandung,Jawa Barat,95.7
Kota Magelang,Jawa Tengah,sedang,0,Urban Padat,0.5717,True,96.4,127667.0,0.4963694611763415,6.45,7.58,6.79,11.47,8.11,14.28,8.69,0.05052206130010104,0.05937321312476991,0.05318523972522265,0.08984310745924945,0.06352463831687123,0.11185349385510741,0.06806770739501986,92.63208190056945,5.5968274550127175,6879.0,5.0,0.0,4.0,23638.594206,22744.592412263,3.916438860472949,185.1582179106582,178.15561117800996,0.9621804162317704,80.8633,29515.1045,231.18820446944005,54.28,13.13,13.26,10.89,5.56,0.02,0.02,2.32,0.51,1,Kota Madiun,Jawa Timur,96.4,Kota Banjarmasin,Kalimantan Selatan,96.1,Kota Bandung,Jawa Barat,96.0,Kota Bogor,Jawa Barat,95.9,Kota Tangerang Selatan,Banten,95.8
Kota Makasar,Sulawesi Selatan,metropolitan,0,Urban Padat,0.6162,False,96.2,1464401.0,2.0486191965178938e-05,0.0,0.01,0.01,0.0,0.0,0.01,0.0,0.0,6.828730655059646e-06,6.828730655059646e-06,0.0,0.0,6.828730655059646e-06,0.0,165.9861540657238,5.560211672214789,8229.0,4.0,0.0,3.0,290336.55569199997,290325.05839046097,0.2731492262023858,198.2630138138392,198.2551626162922,0.9999604000897799,1061.563,387470.4804,264.5931547438168,,,21.0,25.0,6.0,,2.0,3.0,3.0,1,Kota Surakarta,Jawa Tengah,96.2,Kota Yogyakarta,Daerah Istimewa Yogyakarta,96.1,Kota Cirebon,Jawa Barat,95.8,Kota Surabaya,Jawa Timur,95.7,Kota Bukittinggi,Sumatera Barat,94.4
Kota Surabaya,Jawa Timur,metropolitan,0,Urban Padat,0.5777,False,95.7,2987863.0,0.526955218495627,1343.76,29.53,37.59,111.68,12.18,12.98,26.75,0.44973949608800673,0.00988331794329258,0.012580898120161468,0.03737788513061007,0.004076492128320475,0.004344242021806221,0.008952887063429615,258.5438522448988,5.755207407469383,8912.0,12.0,0.0,11.0,226129.85172,215262.538393672,0.4016248402286183,75.68280463997178,72.04565215797109,0.9519421551658549,1805.5716,659033.634,220.57023163377974,55.48,2.25,3.05,22.01,0.25,5.75,1.35,0.5,9.36,1,Kota Makasar,Sulawesi Selatan,95.7,Kota Yogyakarta,Daerah Istimewa Yogyakarta,95.5,Kota Surakarta,Jawa Tengah,94.4,Kota Cirebon,Jawa Barat,94.0,Kota Tangerang,Banten,92.6
Kota Surakarta,Jawa Tengah,besar,0,Urban Padat,0.6419,True,97.2,583961.0,0.612729274728963,148.51,74.26,74.26,2.75,3.44,54.46,0.13,0.254314928565435,0.1271660264983449,0.1271660264983449,0.00470921859507741,0.00589080435166047,0.09325965261378756,0.00022261760631275035,110.7808055674951,5.618189742844705,12499.0,2.0,0.0,1.0,107191.23429,106004.61932,0.34248862509653893,183.5588922719154,181.52688162394406,0.9889299253072348,420.1669,153360.9149,262.6218444382416,38.18,5.64,13.64,22.73,3.64,7.27,,,8.9,1,Kota Yogyakarta,Daerah Istimewa Yogyakarta,97.2,Kota Cirebon,Jawa Barat,97.0,Kota Makasar,Sulawesi Selatan,96.2,Kota Tangerang,Banten,94.9,Kota Bukittinggi,Sumatera Barat,94.7
