kabkota,provinsi,ukuran_kota,cluster,cluster_label,report_rate,sumber_completeness,komp_completeness,komp_valid_sum,outlier_quality,qs_timbulan,qs_sumber,qs_komposisi,qs_overall,qs_timbulan_10,qs_sumber_10,qs_komposisi_10,qs_overall_10
Kota Bandung,Jawa Barat,metropolitan,0,Urban Padat,0.6667,1.0,1.0,1.0,1.0,0.8,0.9,0.8667,0.8556,8.0,9.0,8.67,8.56
Kota Banjarmasin,Kalimantan Selatan,besar,0,Urban Padat,0.6154,0.4286,1.0,0.0,1.0,0.7692,0.656,0.8462,0.7571,7.69,6.56,8.46,7.57
Kota Bogor,Jawa Barat,metropolitan,0,Urban Padat,0.6667,1.0,1.0,1.0,1.0,0.8,0.9,0.8667,0.8556,8.0,9.0,8.67,8.56
Kota Bukittinggi,Sumatera Barat,sedang,0,Urban Padat,0.6667,0.8571,0.0,0.0,1.0,0.8,0.8429,0.5667,0.7365,8.0,8.43,5.67,7.37
Kota Cirebon,Jawa Barat,sedang,0,Urban Padat,0.6667,1.0,1.0,1.0,1.0,0.8,0.9,0.8667,0.8556,8.0,9.0,8.67,8.56
Kota Madiun,Jawa Timur,sedang,0,Urban Padat,0.6552,1.0,1.0,1.0,0.0,0.3931,0.5966,0.5621,0.5172,3.93,5.97,5.62,5.17
Kota Magelang,Jawa Tengah,sedang,0,Urban Padat,0.8182,1.0,1.0,1.0,0.0,0.4909,0.6455,0.6273,0.5879,4.91,6.45,6.27,5.88
Kota Makasar,Sulawesi Selatan,metropolitan,0,Urban Padat,0.6471,0.4286,0.6667,0.0,1.0,0.7882,0.6655,0.7588,0.7375,7.88,6.66,7.59,7.38
Kota Surabaya,Jawa Timur,metropolitan,0,Urban Padat,0.6552,1.0,1.0,1.0,1.0,0.7931,0.8966,0.8621,0.8506,7.93,8.97,8.62,8.51
Kota Surakarta,Jawa Tengah,besar,0,Urban Padat,0.8182,1.0,0.7778,1.0,0.0,0.4909,0.6455,0.5606,0.5657,4.91,6.45,5.61,5.66
Kota Tangerang,Banten,metropolitan,0,Urban Padat,0.5,0.8571,1.0,1.0,0.0,0.3,0.4929,0.5,0.431,3.0,4.93,5.0,4.31
Kota Tangerang Selatan,Banten,metropolitan,0,Urban Padat,0.5,0.8571,0.8889,1.0,1.0,0.7,0.7929,0.7667,0.7532,7.0,7.93,7.67,7.53
Kota Tegal,Jawa Tengah,sedang,0,Urban Padat,0.8182,1.0,1.0,1.0,0.0,0.4909,0.6455,0.6273,0.5879,4.91,6.45,6.27,5.88
Kota Yogyakarta,Daerah Istimewa Yogyakarta,sedang,0,Urban Padat,0.8,0.8571,1.0,1.0,1.0,0.88,0.8829,0.92,0.8943,8.8,8.83,9.2,8.94
Aceh Tamiang,Aceh,kecil,1,Kabkota Berkembang,0.9565,0.8571,1.0,1.0,1.0,0.9739,0.9298,0.9826,0.9621,9.74,9.3,9.83,9.62
Aceh Timur,Aceh,sedang,1,Kabkota Berkembang,0.9565,0.8571,1.0,1.0,1.0,0.9739,0.9298,0.9826,0.9621,9.74,9.3,9.83,9.62
Aceh Utara,Aceh,sedang,1,Kabkota Berkembang,0.9565,1.0,1.0,1.0,1.0,0.9739,0.987,0.9826,0.9812,9.74,9.87,9.83,9.81
Badung,Bali,besar,1,Kabkota Berkembang,0.875,1.0,1.0,1.0,1.0,0.925,0.9625,0.95,0.9458,9.25,9.63,9.5,9.46
Balangan,Kalimantan Selatan,sedang,1,Kabkota Berkembang,0.6154,1.0,1.0,1.0,1.0,0.7692,0.8846,0.8462,0.8333,7.69,8.85,8.46,8.33
Banggai Laut,Sulawesi Tengah,kecil,1,Kabkota Berkembang,0.6667,0.0,0.0,0.0,1.0,0.8,0.5,0.5667,0.6222,8.0,5.0,5.67,6.22
Bangka,Kepulauan Bangka Belitung,sedang,1,Kabkota Berkembang,0.75,1.0,1.0,1.0,1.0,0.85,0.925,0.9,0.8917,8.5,9.25,9.0,8.92
Bangka Barat,Kepulauan Bangka Belitung,sedang,1,Kabkota Berkembang,0.75,0.8571,1.0,1.0,1.0,0.85,0.8679,0.9,0.8726,8.5,8.68,9.0,8.73
Bangli,Bali,sedang,1,Kabkota Berkembang,0.875,1.0,1.0,1.0,1.0,0.925,0.9625,0.95,0.9458,9.25,9.63,9.5,9.46
Banjar,Kalimantan Selatan,besar,1,Kabkota Berkembang,0.6154,0.7143,0.5556,1.0,1.0,0.7692,0.7703,0.7128,0.7508,7.69,7.7,7.13,7.51
